image,level
1_left,0
1_right,0
2_left,0
2_right,0
5_left,0
5_right,0
7_left,0
7_right,0
11_left,0
11_right,0
12_left,0
12_right,0
14_left,0
14_right,0
18_left,0
18_right,0
24_left,0
24_right,0
26_left,0
26_right,0
27_left,0
27_right,0
28_left,0
28_right,0
32_left,0
32_right,0
34_left,0
34_right,0
35_left,0
35_right,0
38_left,0
38_right,0
43_left,0
43_right,0
44_left,0
44_right,0
45_left,0
45_right,0
48_left,0
48_right,0
6_left,1
6_right,1
275_left,1
275_right,1
290_left,1
290_right,1
295_left,1
295_right,1
296_left,1
296_right,1
397_left,1
397_right,1
414_left,1
414_right,1
490_left,1
490_right,1
493_left,1
493_right,1
549_left,1
549_right,1
584_left,1
584_right,1
603_left,1
603_right,1
69_left,1
69_right,1
98_left,1
98_right,1
200_left,1
200_right,1
388_left,1
388_right,1
790_left,1
790_right,1
827_left,1
827_right,1
850_left,1
850_right,1
950_left,1
950_right,1
3_left,2
3_right,2
4_left,2
4_right,2
8_left,2
8_right,2
37_left,2
37_right,2
39_left,2
39_right,2
88_left,2
88_right,2
92_left,2
92_right,2
106_left,2
106_right,2
113_left,2
113_right,2
127_left,2
127_right,2
139_left,2
139_right,2
147_left,2
147_right,2
150_left,2
150_right,2
180_left,2
180_right,2
215_left,2
215_right,2
220_left,2
220_right,2
250_left,2
250_right,2
312_left,2
312_right,2
324_left,2
324_right,2
342_left,2
342_right,2
273_left,3
273_right,3
454_left,3
454_right,3
578_left,3
578_right,3
658_left,3
658_right,3
748_left,3
748_right,3
769_left,3
769_right,3
781_left,3
781_right,3
341_left,3
341_right,3
589_left,3
589_right,3
949_left,3
949_right,3
1038_left,3
1038_right,3
1218_left,3
1218_right,3
1220_left,3
1220_right,3
1342_left,3
1342_right,3
1561_left,3
1561_right,3
1568_left,3
1568_right,3
1612_left,3
1612_right,3
1657_left,3
1657_right,3
1730_left,3
1730_right,3
1879_left,3
1879_right,3
9_left,4
9_right,4
185_left,4
185_right,4
198_left,4
198_right,4
392_left,4
392_right,4
582_left,4
582_right,4
701_left,4
701_right,4
1128_left,4
1128_right,4
1707_left,4
1707_right,4
2173_left,4
2173_right,4
2211_left,4
2211_right,4
2310_left,4
2310_right,4
2426_left,4
2426_right,4
2523_left,4
2523_right,4
2546_left,4
2546_right,4
2771_left,4
2771_right,4
2919_left,4
2919_right,4
3028_left,4
3028_right,4
3049_left,4
3049_right,4
3118_left,4
3118_right,4
3152_left,4
3152_right,4
